plant,pop,watering,inoc,days_to_flower,flower_include,soil_moist_3_7,health_inoc_leaf_3_31,SLA_leaf_area,SLA_dry_leaf_weight,sla
523,arb04,dry,fungus,43,43,17.4,3,NA,NA,NA
524,arb04,dry,fungus,55,55,21,NA,2.638,0.0058,454.8275862
525,arb04,dry,fungus,121,NA,24.6,NA,NA,NA,NA
526,arb04,dry,fungus,121,NA,22.8,NA,1.62,0.0034,476.4705882
527,arb04,dry,fungus,41,41,21.4,8,NA,NA,NA
528,arb04,dry,fungus,121,NA,21.7,NA,1.949,0.003,649.6666667
529,arb04,dry,fungus,49,49,17.4,NA,3.016,0.0053,569.0566038
530,arb04,dry,fungus,41,41,19.6,10,NA,NA,NA
531,arb04,dry,fungus,49,49,21.7,NA,3.672,0.0081,453.3333333
532,arb04,dry,fungus,68,68,20.7,2,NA,NA,NA
533,arb04,dry,fungus,46,46,24.3,NA,2.001,0.0036,555.8333333
534,arb04,dry,fungus,46,46,22.8,NA,NA,NA,NA
535,arb04,dry,fungus,33,33,19.2,9,NA,NA,NA
536,arb04,dry,fungus,46,46,16.3,NA,3.002,0.0061,492.1311475
537,arb04,dry,fungus,46,46,17.8,4,NA,NA,NA
538,arb04,dry,fungus,33,33,22.5,NA,1.943,0.0026,747.3076923
539,arb04,dry,fungus,33,33,21,9,NA,NA,NA
540,arb04,dry,fungus,62,62,23.9,NA,3.378,0.007,482.5714286
541,arb04,dry,fungus,43,43,21.7,4,4.076,0.0069,590.7246377
542,arb04,dry,fungus,43,43,28.6,4,3.005,0.0058,518.1034483
543,arb04,dry,fungus,41,41,28.3,4,4.019,0.0075,535.8666667
544,arb04,dry,fungus,55,55,25,4,3.517,0.0099,355.2525253
545,arb04,dry,fungus,43,43,22.1,5,4.039,0.0081,498.6419753
546,arb04,dry,fungus,55,55,20.3,NA,2.376,0.0045,528
547,arb04,dry,fungus,49,49,30.8,4,3.681,0.0078,471.9230769
548,arb04,dry,fungus,41,41,32.6,4,2.091,0.0034,615
549,arb04,dry,fungus,58,58,29.7,4,6.856,0.017,403.2941176
550,arb04,dry,fungus,41,41,24.3,4,2.162,0.0042,514.7619048
551,arb04,dry,fungus,46,46,24.3,9,2.97,0.0062,479.0322581
552,arb04,dry,fungus,41,41,23.6,9,3.305,0.0043,768.6046512
553,arb04,dry,fungus,46,46,25.7,3,5.218,0.0101,516.6336634
554,arb04,dry,fungus,49,49,NA,3,2.248,0.0056,401.4285714
555,arb04,dry,fungus,46,46,32.6,4,3.256,0.0049,664.4897959
556,arb04,dry,fungus,33,33,25.7,9,8.362,0.0179,467.150838
557,arb04,dry,fungus,NA,NA,NA,NA,NA,NA,NA
558,arb04,dry,fungus,55,55,29.3,3,3.334,0.0073,456.7123288
559,arb04,dry,fungus,41,41,21.7,NA,NA,NA,NA
560,arb04,dry,fungus,46,46,23.9,NA,NA,NA,NA
561,arb04,dry,fungus,46,46,23.6,NA,NA,NA,NA
562,arb04,dry,fungus,35,35,25.7,NA,1.909,0.0036,530.2777778
563,arb04,dry,fungus,46,46,24.3,NA,3.044,0.0055,553.4545455
564,arb04,dry,fungus,46,46,17,NA,5.705,0.0088,648.2954545
565,arb04,dry,fungus,49,49,22.5,NA,NA,NA,NA
566,arb04,dry,fungus,49,49,23.6,NA,NA,NA,NA
567,arb04,dry,fungus,46,46,23.6,NA,NA,NA,NA
568,arb04,dry,fungus,46,46,22.1,NA,1.769,0.0024,737.0833333
569,arb04,dry,fungus,46,46,21,NA,2.882,0.004,720.5
570,arb04,dry,fungus,60,60,20.7,NA,3.23,0.0042,769.047619
571,arb04,dry,fungus,46,46,19.9,NA,NA,NA,NA
572,arb04,dry,fungus,55,55,19.2,NA,NA,NA,NA
573,arb04,dry,fungus,55,55,20.3,NA,NA,NA,NA
574,arb04,dry,fungus,121,NA,24.3,NA,35.449,0.0507,699.1913215
575,arb04,dry,fungus,60,60,22.8,NA,3.801,0.0121,314.1322314
576,arb04,dry,fungus,46,46,21.4,NA,2.745,0.0065,422.3076923
