Species Name,Wing Length,Tail Length
Pseudelaenia leucospodia,59.9,52.5
Pseudocolopteryx acutipennis,47.4,44.3
Pseudocolopteryx citreola,49.3,49.2
Pseudocolopteryx dinelliana,46.6,48.8
Pseudocolopteryx flaviventris,48.4,51
Pseudocolopteryx sclateri,42,43.9
Pseudotriccus pelzelni,53.8,43.2
Pseudotriccus ruficeps,55.8,43
Pseudotriccus simplex,53.9,43.4
Pyrocephalus nanus,63.2,58.2
Pyrocephalus rubinus,74.3,57.6
Pyrrhomyias cinnamomeus,69.9,61.3
Ramphotrigon fuscicauda,70.7,72.3
Ramphotrigon megacephalum,59,55.6
Ramphotrigon ruficauda,75.4,70.9
Rhynchocyclus aequinoctialis,69,56
Rhynchocyclus brevirostris,76.6,63.8
Rhynchocyclus fulvipectus,77.2,70.2
Rhynchocyclus olivaceus,74.4,64.9
Rhynchocyclus pacificus,78.6,66.2
Rhytipterna holerythra,103.1,92.6
Rhytipterna immunda,86,80.2
Rhytipterna simplex,96.8,95.3
Satrapa icterophrys,86.6,68.7
Sayornis nigricans,86.3,77.2
Sayornis phoebe,83.9,70.1
Sayornis saya,104.4,79.8
Serpophaga cinerea,56.1,47.7
Serpophaga griseicapilla,49,46
Serpophaga hypoleuca,47.1,45.1
Serpophaga nigricans,57.5,51
Serpophaga subcristata,48.1,47.4
Silvicultrix diadema,63,55.1
Silvicultrix frontalis,65.2,57.5
Silvicultrix jelskii,65.8,58.5
Silvicultrix pulchella,64.6,57.5
Sirystes albocinereus,99.8,83.5
Sirystes albogriseus,99.5,85.5
Sirystes sibilator,93.9,81.2
Sirystes subcanescens,99,84
Stigmatura bahiae,52.9,58.9
Stigmatura budytoides,58.5,73.5
Stigmatura napensis,51.2,60.5
Sublegatus arenarum,69.8,69.5
Sublegatus modestus,65.2,57.7
Sublegatus obscurior,65.6,62
Suiriri suiriri,74.4,66
Tachuris rubrigastra,50.5,41
Taeniotriccus andrei,57.5,44
Todirostrum chrysocrotaphum,40.2,29.2
Todirostrum cinereum,42.5,33.8
Todirostrum maculatum,45.3,32.6
Todirostrum nigriceps,37.9,23.8
Todirostrum pictum,42.1,33.4
Todirostrum poliocephalum,42.2,35
Todirostrum viridanum,44.5,28.5
Tolmomyias assimilis,63.8,54.5
Tolmomyias flaviventris,59.9,52.7
Tolmomyias flavotectus,62.8,48.4
Tolmomyias poliocephalus,53.9,46.1
Tolmomyias sulphurescens,63,55.5
Tolmomyias traylori,57.5,50.2
Tolmomyias viridiceps,57.9,46.3
