trial,group_size,focalG,date,day1.focal.lunge,day2.focal.lunge,day2.focal.lunge,day2.at.focal.lunge,day2.time
181,2,208x712,20-Feb,0,0,NA,NA,NA
164,0,304x862,16-Feb,0,0,NA,NA,NA
496,8,304x862,15-Jun,0,0,NA,NA,NA
161NEWAR,8,304x862,16-Feb,0,0,NA,NA,NA
166,0,306x391,16-Feb,0,0,NA,NA,NA
177,2,306x391,16-Feb,1,0,NA,NA,NA
176,0,315x365,16-Feb,0,0,NA,NA,NA
168,0,357x714,16-Feb,0,0,NA,NA,NA
173,8,360x335,16-Feb,0,0,NA,NA,NA
170,0,375x427,16-Feb,0,0,NA,NA,NA
167,8,375x427,16-Feb,0,0,NA,NA,NA
290,8,375x427,3-Apr,0,0,NA,NA,NA
178,0,437x324,16-Feb,0,0,NA,NA,NA
171,2,437x324,16-Feb,0,0,NA,NA,NA
172,0,637x517,16-Feb,0,0,NA,NA,NA
162,0,707x765,16-Feb,0,0,NA,NA,NA
174,0,707x765,16-Feb,0,0,NA,NA,NA
125,2,786x820,NA,0,0,NA,NA,NA
150,2,786x820,9-Feb,0,0,NA,NA,NA
175,4,437x324,16-Feb,0,1,NA,NA,NA
169,4,315x365,16-Feb,0,2,NA,NA,NA
163,4,357x714,16-Feb,0,2,NA,NA,NA
179,4,486x380,16-Feb,3,2,NA,NA,NA
